status,quantity,scope,value,note
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L1|delta_BD_matched|ds11|seed1,4.500723756840062e-06,b=190 c=110 discordant 300
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L1|delta_BD_matched|ds11|seed2,7.069139305562682e-09,b=109 c=213 discordant 322
PROVISIONAL — NOT A RESULT,McNemar b/c (summed over seeds),linear|L2|delta_AB,b=508 c=171,supplementary: the paired reading of the same population as the binomial SE
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L2|delta_AB|ds11|seed1,3.3144748778881715e-14,b=234 c=97 discordant 331
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L2|delta_AB|ds11|seed2,3.964691978310429e-28,b=274 c=74 discordant 348
PROVISIONAL — NOT A RESULT,McNemar b/c (summed over seeds),linear|L2|delta_AE,b=155 c=24,"MANDATORY for Delta_AE: sigma_Delta(A-E) is SMALLER than the binomial SE, so the CI over seeds narrows the uncertainty by itself (raport.tex 3.7)."
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L2|delta_AE|ds11|seed1,8.065094010420559e-16,b=87 c=11 discordant 98
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L2|delta_AE|ds11|seed2,3.8083949050165733e-10,b=68 c=13 discordant 81
PROVISIONAL — NOT A RESULT,McNemar b/c (summed over seeds),linear|L2|delta_AF,b=72 c=45,supplementary: the paired reading of the same population as the binomial SE
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L2|delta_AF|ds11|seed1,0.001402688503695515,b=36 c=13 discordant 49
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L2|delta_AF|ds11|seed2,0.716300760154337,b=36 c=32 discordant 68
PROVISIONAL — NOT A RESULT,McNemar b/c (summed over seeds),linear|L2|delta_BD_matched,b=265 c=364,supplementary: the paired reading of the same population as the binomial SE
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L2|delta_BD_matched|ds11|seed1,0.19494402523244087,b=184 c=159 discordant 343
PROVISIONAL — NOT A RESULT,"McNemar p (exact, per seed)",linear|L2|delta_BD_matched|ds11|seed2,1.454637778761846e-13,b=81 c=205 discordant 286
PROVISIONAL — NOT A RESULT,decomposition Δ_AE = Δ_AB + (acc(B)-acc(E)),linear|L1,+0.113750 + -0.052083 = +0.061667,"Δ_AE +0.061667, residual +0.00e+00"
PROVISIONAL — NOT A RESULT,decomposition Δ_AE = Δ_AB + (acc(B)-acc(E)),linear|L2,+0.140417 + -0.085833 = +0.054583,"Δ_AE +0.054583, residual +0.00e+00"
PROVISIONAL — NOT A RESULT,TOST power recomputed at the ORIGINAL sigma,"TOST power A<->E, delta=0.02",1.0000,documents say 1.000 (raport.tex 3.7 / D-4); agrees
PROVISIONAL — NOT A RESULT,TOST power recomputed at the ORIGINAL sigma,"TOST power A<->B, delta=0.02",0.0171,"documents say 0.000 (raport.tex 3.7 / D-4); ⚠️ DIVERGENCE — category 1.6(b), reported, NOT a STOP; changes no decision: both values sit on the same side of the 0.8 floor"
PROVISIONAL — NOT A RESULT,TOST power recomputed at the ORIGINAL sigma,"TOST power, allocation-contrast sigma_Delta",0.0030,documents say 0.003 (SPEC 7.5 table); agrees
PROVISIONAL — NOT A RESULT,TOST power recomputed at the ORIGINAL sigma,"TOST power, sigma_Delta(A-B) smoke n=3",0.2893,"documents say 0.044 (SPEC 7.5 / 7.6 remark); ⚠️ DIVERGENCE — category 1.6(b), reported, NOT a STOP; changes no decision: both values sit on the same side of the 0.8 floor"
PROVISIONAL — NOT A RESULT,account 1 — CI over the paired differences,MAIN,MAIN. Generalises over initialisations at a fixed split.,
PROVISIONAL — NOT A RESULT,account 2 — binomial SE,1200 test rows,0.014433756729740645,
PROVISIONAL — NOT A RESULT,account 3 — McNemar,discordant pairs,"same population as (2) but paired, therefore smaller","⛔ THREE numbers, three labels, one marked main. Never summed, no 'total uncertainty' is computed."
PROVISIONAL — NOT A RESULT,Holm correction,confirmatory family,NOT APPLIED,"the confirmatory family has ONE element (H1 = Delta_AB at the linear head), so the Holm correction is not applied. P1 and P2 are descriptive and do not enter the family. Stated explicitly so it does not read as an omission."
PROVISIONAL — NOT A RESULT,MixedLM (check),ansatz L1,,"reported as a CHECK. In part A the mixed model is formally redundant: the design is balanced and the random part is one intercept, so the fixed effect equals the within-subject contrast (SPEC 7.3). MixedLM did not fit: LinAlgError('Singular matrix')"
PROVISIONAL — NOT A RESULT,MixedLM (check),ansatz L2,,"reported as a CHECK. In part A the mixed model is formally redundant: the design is balanced and the random part is one intercept, so the fixed effect equals the within-subject contrast (SPEC 7.3). MixedLM did not fit: LinAlgError('Singular matrix')"
