status,row,verdict,detail,stop
complete contract grid,h4|L1: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
complete contract grid,h4|L2: acc(A) ~ acc(E) while acc(B) < acc(E),⛔ STOP,"'the socket adds nothing, training only undoes the damage of a random initialisation' (SPEC 9) — a result about ARCHITECTURE. Judged against MDE(A-E) = 0.0207, not MDE(A-B).",YES
complete contract grid,h4|L2: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
complete contract grid,h4|L2: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
complete contract grid,h42|L1: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
complete contract grid,h42|L1: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
complete contract grid,h42|L2: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
complete contract grid,h42|L2: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
complete contract grid,"linear|L1: Delta_AB > 0 at the linear head, CI excludes 0",✅ H1 estimated,"Delta_AB = +0.0883, 95% CI [+0.0713; +0.1053], = 12.37 sigma_seed(A); of the ceiling PER GENERATOR SEED: ds11 0.432, ds22 0.378, ds33 0.625. Report WITH both denominators.",no
complete contract grid,linear|L1: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
complete contract grid,"linear|L2: Delta_AB > 0 at the linear head, CI excludes 0",✅ H1 estimated,"Delta_AB = +0.1122, 95% CI [+0.0880; +0.1364], = 14.59 sigma_seed(A); of the ceiling PER GENERATOR SEED: ds11 0.425, ds22 0.678, ds33 0.738. Report WITH both denominators.",no
complete contract grid,linear|L2: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
complete contract grid,linear|L2: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
complete contract grid,"P1 curve, ansatz L1",🟡 descriptive (not decreasing),"⛔ does NOT 'confirm H1'. At h42 arm E beats the strong model, so Delta -> 0 happens BECAUSE OF THE HEAD (SPEC 7.9). Not decreasing is an honest, publishable result: 'freezing costs this much, independently of dilution'.",no
complete contract grid,"P1 curve, ansatz L2",🟡 descriptive (not decreasing),"⛔ does NOT 'confirm H1'. At h42 arm E beats the strong model, so Delta -> 0 happens BECAUSE OF THE HEAD (SPEC 7.9). Not decreasing is an honest, publishable result: 'freezing costs this much, independently of dilution'.",no
complete contract grid,"MixedLM vs paired contrast, ansatz L1","✅ equivalent, as predicted",intercept +0.088333,no
complete contract grid,"MixedLM vs paired contrast, ansatz L2","✅ equivalent, as predicted",intercept +0.112194,no
complete contract grid,h2|L1: TOST power for A<->E dropped to 0.000,⛔ STOP and report,D-4 ('TOST stays for Delta_AE') stands on power 1.000. Below ~0.8 that decision has to be reopened — and that is NOT A8's decision.,YES
complete contract grid,h2|L2: TOST power for A<->E dropped to 0.000,⛔ STOP and report,D-4 ('TOST stays for Delta_AE') stands on power 1.000. Below ~0.8 that decision has to be reopened — and that is NOT A8's decision.,YES
complete contract grid,h4|L2: TOST power for A<->E dropped to 0.727,⛔ STOP and report,D-4 ('TOST stays for Delta_AE') stands on power 1.000. Below ~0.8 that decision has to be reopened — and that is NOT A8's decision.,YES
